Using Python: /home/WUR/lu087/miniconda3/envs/ect/bin/python (Python 3.11.15)
=== Extract sparse SAE features ===
model_id=google/gemma-2-2b
sae_release=gemma-scope-2b-pt-res-canonical sae_id=layer_14/width_16k/canonical
corpus=/home/WUR/lu087/Github/ect/src/vocabulary_gen_aim1_AND/output/orthogonality_spectrum_corpus.jsonl (n=3885)
device=cuda dtype=bfloat16 layer=14 top_k=256
todo=3885 done=0
distributions → /home/WUR/lu087/Github/ect/src/sae_lens_aim1_AND_OR/output/layer_14/sae_feature_distributions.jsonl
[1/3885] L=14 cat=1 'Transitive Verb' / 'Verb' | |A|=69 |AND|=89 |OR|=76
[10/3885] L=14 cat=1 'Superlative Adjective' / 'Adjective' | |A|=75 |AND|=97 |OR|=86
[20/3885] L=14 cat=1 'Definite Article' / 'Determiner' | |A|=72 |AND|=61 |OR|=67
[30/3885] L=14 cat=1 'Relative Clause' / 'Clause' | |A|=60 |AND|=74 |OR|=77
[40/3885] L=14 cat=1 'Exclamatory Sentence' / 'Sentence' | |A|=66 |AND|=77 |OR|=69
[50/3885] L=14 cat=1 'Active Voice' / 'Voice' | |A|=76 |AND|=82 |OR|=70
[60/3885] L=14 cat=1 'Sleet' / 'Precipitation' | |A|=84 |AND|=76 |OR|=77
[70/3885] L=14 cat=1 'Cold Front' / 'Front' | |A|=83 |AND|=83 |OR|=71
[80/3885] L=14 cat=1 'Haze' / 'Visibility Condition' | |A|=86 |AND|=89 |OR|=81
[90/3885] L=14 cat=1 'Macroburst' / 'Downburst' | |A|=80 |AND|=84 |OR|=73
[100/3885] L=14 cat=1 'Sun Dog' / 'Halo' | |A|=86 |AND|=87 |OR|=73
[110/3885] L=14 cat=1 'Hydrothermal Vent' / 'Seafloor Feature' | |A|=99 |AND|=79 |OR|=70
[120/3885] L=14 cat=1 'Oxygen Minimum Zone' / 'Oceanic Layer' | |A|=74 |AND|=78 |OR|=69
[130/3885] L=14 cat=1 'Fringing Reef' / 'Coral Reef Structure' | |A|=84 |AND|=87 |OR|=79
[140/3885] L=14 cat=1 'Bathyal Zone' / 'Deep Marine Region' | |A|=78 |AND|=85 |OR|=73
[150/3885] L=14 cat=1 'Mediterranean Water' / 'Intermediate Water Mass' | |A|=72 |AND|=87 |OR|=71
[160/3885] L=14 cat=1 'Lead' / 'Post-transition metal' | |A|=98 |AND|=86 |OR|=69
[170/3885] L=14 cat=1 'Phosphorus' / 'Pnictogen' | |A|=59 |AND|=85 |OR|=78
[180/3885] L=14 cat=1 'Potassium' / 'Alkali metal' | |A|=57 |AND|=76 |OR|=70
[190/3885] L=14 cat=1 'Titanium' / 'Transition metal' | |A|=62 |AND|=90 |OR|=76
[200/3885] L=14 cat=1 'Tin' / 'Post-transition metal' | |A|=66 |AND|=73 |OR|=70
[210/3885] L=14 cat=1 'Whimper' / 'Cry' | |A|=83 |AND|=92 |OR|=84
[220/3885] L=14 cat=1 'Watery Eyes' / 'Crying' | |A|=75 |AND|=62 |OR|=72
[230/3885] L=14 cat=1 'Eye Roll' / 'Dismissive Expression' | |A|=103 |AND|=88 |OR|=82
[240/3885] L=14 cat=1 'Closed Mouth Smile' / 'Smile' | |A|=77 |AND|=76 |OR|=68
[250/3885] L=14 cat=1 'Angry Glare' / 'Glare' | |A|=85 |AND|=82 |OR|=70
[260/3885] L=14 cat=1 'Corporate Counsel' / 'Attorney' | |A|=76 |AND|=95 |OR|=95
[270/3885] L=14 cat=1 'Indictment' / 'Charging Document' | |A|=66 |AND|=68 |OR|=69
[280/3885] L=14 cat=1 'Subpoena Duces Tecum' / 'Subpoena' | |A|=70 |AND|=89 |OR|=71
[290/3885] L=14 cat=1 'Will' / 'Testamentary Document' | |A|=82 |AND|=82 |OR|=83
[300/3885] L=14 cat=1 'Arbitrator' / 'ADR Professional' | |A|=63 |AND|=80 |OR|=91
[310/3885] L=14 cat=1 'Blue-Green' / 'Tertiary Color' | |A|=67 |AND|=87 |OR|=85
[320/3885] L=14 cat=1 'Cool Colors' / 'Color Temperature' | |A|=70 |AND|=75 |OR|=66
[330/3885] L=14 cat=1 'RYB Model' / 'Color Model' | |A|=69 |AND|=78 |OR|=69
[340/3885] L=14 cat=1 'Pastel Colors' / 'Color Classification' | |A|=63 |AND|=81 |OR|=61
[350/3885] L=14 cat=1 'Blue-Orange' / 'Complementary Pair' | |A|=74 |AND|=66 |OR|=74
[360/3885] L=14 cat=1 'Escape wheel' / 'Gear' | |A|=67 |AND|=97 |OR|=86
[370/3885] L=14 cat=1 'Cannon pinion' / 'Gear' | |A|=67 |AND|=94 |OR|=90
[380/3885] L=14 cat=1 'Release lever' / 'Lever' | |A|=76 |AND|=86 |OR|=73
[390/3885] L=14 cat=1 'Snail' / 'Cam' | |A|=77 |AND|=98 |OR|=100
[400/3885] L=14 cat=1 'Train' / 'Mechanism' | |A|=75 |AND|=78 |OR|=94
[410/3885] L=14 cat=1 'Bassoon' / 'Woodwind Instrument' | |A|=75 |AND|=94 |OR|=86
[420/3885] L=14 cat=1 'Snare Drum' / 'Percussion Instrument' | |A|=97 |AND|=98 |OR|=80
[430/3885] L=14 cat=1 'Valve' / 'Trumpet' | |A|=84 |AND|=84 |OR|=82
[440/3885] L=14 cat=1 'Hammers' / 'Piano' | |A|=64 |AND|=88 |OR|=87
[450/3885] L=14 cat=1 'Resonance' / 'Acoustic Property' | |A|=70 |AND|=88 |OR|=76
[460/3885] L=14 cat=1 'Sternum' / 'Thoracic Bone' | |A|=73 |AND|=89 |OR|=77
[470/3885] L=14 cat=1 'Hyoid' / 'Neck Bone' | |A|=68 |AND|=88 |OR|=73
[480/3885] L=14 cat=1 'Levator Scapulae' / 'Neck Muscle' | |A|=66 |AND|=97 |OR|=78
[490/3885] L=14 cat=1 'Intercostals' / 'Thoracic Muscle' | |A|=68 |AND|=70 |OR|=81
[500/3885] L=14 cat=1 'Biceps Femoris' / 'Thigh Muscle' | |A|=66 |AND|=97 |OR|=79
